,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
0,-30.21806526,53.94094276499999,0.0,40000000000.0,40.0,40000000000.0,10000000000,14000000000.0,26000000000.0,6500000000,1,2
1,-30.15221596,54.729345314999996,0.0,40060000000.0,40.06,40060000000.0,10015000000,14000000000.0,26060000000.0,6515000000,1,2
2,-30.10057831,55.358119965,0.0,40120000000.0,40.12,40120000000.0,10030000000,14000000000.0,26120000000.0,6530000000,1,2
3,-29.9611187,53.701341625,0.0,40180000000.0,40.18,40180000000.0,10045000000,14000000000.0,26180000000.0,6545000000,1,2
4,-29.76810074,55.049152375,0.0,40240000000.0,40.24,40240000000.0,10060000000,14000000000.0,26240000000.0,6560000000,1,2
5,-29.64338684,54.778537755,0.0,40300000000.0,40.3,40300000000.0,10075000000,14000000000.0,26300000000.0,6575000000,1,2
6,-29.59072685,54.48473167499999,0.0,40360000000.0,40.36,40360000000.0,10090000000,14000000000.0,26360000000.0,6590000000,1,2
7,-29.50142288,54.880092620000006,0.0,40420000000.0,40.42,40420000000.0,10105000000,14000000000.0,26420000000.0,6605000000,1,2
8,-29.31347656,54.77138138000001,0.0,40480000000.0,40.48,40480000000.0,10120000000,14000000000.0,26480000000.0,6620000000,1,2
9,-29.09189796,55.07548332500001,0.0,40540000000.0,40.54,40540000000.0,10135000000,14000000000.0,26540000000.0,6635000000,1,2
10,-28.89230728,54.32391739500001,0.0,40600000000.0,40.6,40600000000.0,10150000000,14000000000.0,26600000000.0,6650000000,1,2
11,-28.69649124,53.372566225,0.0,40660000000.0,40.66,40660000000.0,10165000000,14000000000.0,26660000000.0,6665000000,1,1
12,-28.45062637,54.691822055,0.0,40720000000.0,40.72,40720000000.0,10180000000,14000000000.0,26720000000.0,6680000000,1,2
13,-28.14152145,54.40488815500001,0.0,40780000000.0,40.78,40780000000.0,10195000000,14000000000.0,26780000000.0,6695000000,1,2
14,-27.84350204,54.59238816,0.0,40840000000.0,40.84,40840000000.0,10210000000,14000000000.0,26840000000.0,6710000000,1,2
15,-27.54510498,54.39019012499999,0.0,40900000000.0,40.9,40900000000.0,10225000000,14000000000.0,26900000000.0,6725000000,1,2
16,-27.18901443,54.45220185000001,0.0,40960000000.0,40.96,40960000000.0,10240000000,14000000000.0,26960000000.0,6740000000,1,1
17,-26.81764221,54.597919465000004,0.0,41020000000.0,41.02,41020000000.0,10255000000,14000000000.0,27020000000.0,6755000000,1,2
18,-26.49120522,53.371870035,0.04761904761905189,41080000000.0,41.08,41080000000.0,10270000000,14000000000.0,27080000000.0,6770000000,1,2
19,-26.23337173,54.147106175000005,0.0,41140000000.0,41.14,41140000000.0,10285000000,14000000000.0,27140000000.0,6785000000,1,2
20,-25.99111176,53.79246902,0.0,41200000000.0,41.2,41200000000.0,10300000000,14000000000.0,27200000000.0,6800000000,1,2
21,-25.70453453,54.79309653999999,0.0,41260000000.0,41.26,41260000000.0,10315000000,14000000000.0,27260000000.0,6815000000,1,2
22,-25.42745972,54.850452419999996,0.0,41320000000.0,41.32,41320000000.0,10330000000,14000000000.0,27320000000.0,6830000000,1,2
23,-25.23519135,54.03638457500001,-0.04761904761904634,41380000000.0,41.38,41380000000.0,10345000000,14000000000.0,27380000000.0,6845000000,1,2
24,-25.11426353,54.81833077,0.0,41440000000.0,41.44,41440000000.0,10360000000,14000000000.0,27440000000.0,6860000000,1,2
25,-25.00492096,53.4838562,0.0,41500000000.0,41.5,41500000000.0,10375000000,14000000000.0,27500000000.0,6875000000,1,2
26,-24.81264877,55.463699340000005,0.0,41560000000.0,41.56,41560000000.0,10390000000,14000000000.0,27560000000.0,6890000000,1,2
