,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
0,-115.5709686,19.48537445000001,0.0,40000000000.0,40.0,40000000000.0,10000000000,14000000000.0,26000000000.0,6500000000,1,11.0
1,-114.6673279,20.136085500000007,0.04761904761905189,40060000000.0,40.06,40060000000.0,10015000000,14000000000.0,26060000000.0,6515000000,1,9.0
2,-116.3913727,18.429382300000015,-0.04761904761904634,40120000000.0,40.12,40120000000.0,10030000000,14000000000.0,26120000000.0,6530000000,1,12.0
3,-116.2917252,18.439651450000014,-0.04761904761904634,40180000000.0,40.18,40180000000.0,10045000000,14000000000.0,26180000000.0,6545000000,1,5.0
4,-115.1577911,19.71784980000001,0.04761904761905189,40240000000.0,40.24,40240000000.0,10060000000,14000000000.0,26240000000.0,6560000000,1,4.0
5,-115.1945267,19.66201015,-0.04761904761904634,40300000000.0,40.3,40300000000.0,10075000000,14000000000.0,26300000000.0,6575000000,1,1.0
6,-115.0461884,19.949035600000002,0.04761904761905189,40360000000.0,40.36,40360000000.0,10090000000,14000000000.0,26360000000.0,6590000000,1,12.0
7,-114.475296,20.536331199999992,0.04761904761905189,40420000000.0,40.42,40420000000.0,10105000000,14000000000.0,26420000000.0,6605000000,1,1.0
8,-114.7822571,20.054283100000006,0.0,40480000000.0,40.48,40480000000.0,10120000000,14000000000.0,26480000000.0,6620000000,1,7.0
9,-114.3819351,20.4954987,0.04761904761905189,40540000000.0,40.54,40540000000.0,10135000000,14000000000.0,26540000000.0,6635000000,1,4.0
10,-113.1612625,21.737243649999996,0.04761904761905189,40600000000.0,40.6,40600000000.0,10150000000,14000000000.0,26600000000.0,6650000000,1,40.0
11,-113.2958603,21.163703899999987,0.04761904761905189,40660000000.0,40.66,40660000000.0,10165000000,14000000000.0,26660000000.0,6665000000,1,3.0
12,-114.0410538,20.686492900000005,-0.04761904761904634,40720000000.0,40.72,40720000000.0,10180000000,14000000000.0,26720000000.0,6680000000,1,4.0
13,-112.7608871,22.23133854999999,0.0,40780000000.0,40.78,40780000000.0,10195000000,14000000000.0,26780000000.0,6695000000,1,8.0
14,-112.5279999,22.270584100000008,0.04761904761905189,40840000000.0,40.84,40840000000.0,10210000000,14000000000.0,26840000000.0,6710000000,1,10.0
15,-112.1952209,22.42227180000002,0.0,40900000000.0,40.9,40900000000.0,10225000000,14000000000.0,26900000000.0,6725000000,1,11.0
